H2,O2,AR,P,T,t,UF,,,
0.04,0.02,0.94,3.42,924,10.05,1.1,,,
0.04,0.02,0.94,3.586,930,7.912,1.1,,,
0.04,0.02,0.94,3.534,930,13.09,1.1,,,
0.04,0.02,0.94,3.635,930,10.42,1.1,,,
0.04,0.02,0.94,3.622,931,7.851,1.1,,,
0.04,0.02,0.94,3.651,938,7.723,1.1,,,
0.04,0.02,0.94,3.535,938,6.973,1.1,,,
0.04,0.02,0.94,3.52,938,6.133,1.1,,,
0.04,0.02,0.94,3.622,939,6.803,1.1,,,
0.04,0.02,0.94,3.598,939,7.274,1.1,,,
0.04,0.02,0.94,3.651,944,5.627,1.1,,,
0.04,0.02,0.94,3.525,944,6.819,1.1,,,
0.04,0.02,0.94,3.512,949,4.74,1.1,,,
0.04,0.02,0.94,3.541,957,3.652,1.1,,,
0.04,0.02,0.94,3.706,958,3.737,1.1,,,
0.04,0.02,0.94,3.566,964,3.882,1.1,,,
0.04,0.02,0.94,3.515,967,3.408,1.1,,,
0.04,0.02,0.94,3.711,967,3.352,1.1,,,
0.04,0.02,0.94,3.627,971,2.377,1.1,,,
0.04,0.02,0.94,3.624,973,2.26,1.1,,,
0.04,0.02,0.94,3.687,975,3.229,1.1,,,
0.04,0.02,0.94,3.589,977,2.893,1.1,,,
0.04,0.02,0.94,3.646,981,2.92,1.1,,,
0.04,0.02,0.94,3.679,984,1.625,1.1,,,
0.04,0.02,0.94,3.397,987,2.075,1.1,,,
0.04,0.02,0.94,3.448,992,1.641,1.1,,,
0.04,0.02,0.94,3.651,1000,1.103,1.1,,,
0.04,0.02,0.94,3.572,1003,1.06,1.1,,,
0.04,0.02,0.94,3.454,1010,0.628,1.1,,,
0.04,0.02,0.94,3.437,1014,0.637,1.1,,,
0.04,0.02,0.94,3.374,1021,0.6184,1.1,,,
0.04,0.02,0.94,3.393,1102,0.1837,1.1,,,
0.04,0.02,0.94,3.392,1118,0.1497,1.1,,,
