NH3,O2,AR,P,T,t,UF
0.004,0.006,0.99,1.58,1927,1.113,1.1
0.004,0.006,0.99,1.57,1969,0.998,1.1
0.004,0.006,0.99,1.53,2008,0.783,1.1
0.004,0.006,0.99,1.46,2023,0.769,1.1
0.004,0.006,0.99,1.48,2077,0.551,1.1
0.004,0.006,0.99,1.44,2164,0.38,1.1
0.004,0.006,0.99,1.46,2175,0.362,1.1
0.004,0.006,0.99,1.46,2266,0.226,1.1
0.004,0.006,0.99,1.43,2312,0.17,1.1
0.004,0.006,0.99,1.34,2389,0.129,1.1
0.004,0.006,0.99,1.29,2479,0.091,1.1
0.004,0.006,0.99,11.4,1626,1.17,1.1
0.004,0.006,0.99,11.1,1665,0.747,1.1
0.004,0.006,0.99,11,1706,0.553,1.1
0.004,0.006,0.99,11,1742,0.486,1.1
0.004,0.006,0.99,10.9,1801,0.368,1.1
0.004,0.006,0.99,10.6,1838,0.272,1.1
0.004,0.006,0.99,10.9,1923,0.153,1.1
0.004,0.006,0.99,10.9,1984,0.124,1.1
0.004,0.006,0.99,10.4,2015,0.099,1.1
0.004,0.006,0.99,29.7,1564,1.132,1.1
0.004,0.006,0.99,29.2,1593,0.82,1.1
0.004,0.006,0.99,28.7,1625,0.56,1.1
0.004,0.006,0.99,28.6,1652,0.46,1.1
0.004,0.006,0.99,28.7,1717,0.329,1.1
0.004,0.006,0.99,28.4,1771,0.223,1.1
0.004,0.006,0.99,28,1832,0.141,1.1
0.004,0.006,0.99,27.7,1894,0.094,1.1
0.005715,0.004285,0.99,1.51,1987,1.167,1.1
0.005715,0.004285,0.99,1.45,2030,0.925,1.1
0.005715,0.004285,0.99,1.38,2087,0.749,1.1
0.005715,0.004285,0.99,1.42,2091,0.739,1.1
0.005715,0.004285,0.99,1.44,2168,0.442,1.1
0.005715,0.004285,0.99,1.41,2253,0.303,1.1
0.005715,0.004285,0.99,1.35,2304,0.225,1.1
0.005715,0.004285,0.99,1.34,2372,0.158,1.1
0.005715,0.004285,0.99,1.3,2418,0.125,1.1
0.005715,0.004285,0.99,1.29,2489,0.083,1.1
0.005715,0.004285,0.99,11.2,1663,1.163,1.1
