NH3,H2,O2,AR,P,T,t,UF
0.04375,0,0.03281,0.92344,1.31,1899.3,0.74337,1.1
0.04375,0,0.03281,0.92344,1.1,1777.5,1.09159,1.1
0.04375,0,0.03281,0.92344,1.18,1757.3,1.25501,1.1
0.04375,0,0.03281,0.92344,1.13,1733.6,1.33955,1.1
0.04375,0,0.03281,0.92344,1.19,1695.9,1.9313,1.1
0.04375,0,0.03281,0.92344,1.22,1667.7,2.4398,1.1
0.04375,0,0.03281,0.92344,1.25,1634.3,3.33908,1.1
0.04375,0,0.03281,0.92344,1.01,1613.4,4.2611,1.1
0.04375,0,0.03281,0.92344,10.53,1762.5,0.24271,1.1
0.04375,0,0.03281,0.92344,10,1694.7,0.44028,1.1
0.04375,0,0.03281,0.92344,9.95,1594.4,0.92212,1.1
0.04375,0,0.03281,0.92344,10.41,1522.3,1.35368,1.1
0.04375,0,0.03281,0.92344,10.28,1505,1.42151,1.1
0.04375,0,0.03281,0.92344,10.38,1441,4.66731,1.1
0.04211,0.00222,0.03269,0.92298,1.23,1939,0.44438,1.1
0.04211,0.00222,0.03269,0.92298,1.19,1820.8,0.72789,1.1
0.04211,0.00222,0.03269,0.92298,1.23,1789.2,0.88628,1.1
0.04211,0.00222,0.03269,0.92298,1.22,1757.8,0.95694,1.1
0.04211,0.00222,0.03269,0.92298,1.18,1729.7,1.26219,1.1
0.04211,0.00222,0.03269,0.92298,1.2,1625.8,1.81009,1.1
0.04211,0.00222,0.03269,0.92298,1.16,1531.9,2.79387,1.1
0.04211,0.00222,0.03269,0.92298,1.11,1499.8,3.89425,1.1
0.04211,0.00222,0.03269,0.92298,10.57,1956.9,0.07024,1.1
0.04211,0.00222,0.03269,0.92298,10.35,1810.2,0.11488,1.1
0.04211,0.00222,0.03269,0.92298,11.36,1741,0.1395,1.1
0.04211,0.00222,0.03269,0.92298,10.09,1675.21,0.34356,1.1
0.04211,0.00222,0.03269,0.92298,9.83,1653.2,0.34971,1.1
0.04211,0.00222,0.03269,0.92298,9.25,1608.9,0.41012,1.1
0.04211,0.00222,0.03269,0.92298,9.74,1522.9,0.87,1.1
0.04211,0.00222,0.03269,0.92298,9.33,1465.7,0.96213,1.1
0.04211,0.00222,0.03269,0.92298,10.07,1448.4,1.01135,1.1
0.04211,0.00222,0.03269,0.92298,9.69,1444.2,1.1491,1.1
0.04211,0.00222,0.03269,0.92298,9.98,1394.9,2.68886,1.1
0.04211,0.00222,0.03269,0.92298,10.07,1403.4,2.60876,1.1
0.03322,0.01424,0.03203,0.92051,1.2,1825.8,0.22248,1.1
0.03322,0.01424,0.03203,0.92051,1.17,1658.9,0.36907,1.1
0.03322,0.01424,0.03203,0.92051,1.18,1516.7,0.58354,1.1
0.03322,0.01424,0.03203,0.92051,1.19,1437.2,0.85629,1.1
0.03322,0.01424,0.03203,0.92051,1.21,1335.6,1.1101,1.1
0.03322,0.01424,0.03203,0.92051,1.18,1265.5,1.92461,1.1
0.03322,0.01424,0.03203,0.92051,1.17,1199.4,3.30077,1.1
0.03322,0.01424,0.03203,0.92051,12.6,1939.8,0.03223,1.1
0.03322,0.01424,0.03203,0.92051,12.52,1868.9,0.04738,1.1
0.03322,0.01424,0.03203,0.92051,10.04,1704,0.07854,1.1
0.03322,0.01424,0.03203,0.92051,9.32,1551,0.13807,1.1
0.03322,0.01424,0.03203,0.92051,10.67,1451.9,0.19875,1.1
0.03322,0.01424,0.03203,0.92051,9.99,1316.9,0.53423,1.1
0.03322,0.01424,0.03203,0.92051,9.74,1265.4,0.7953,1.1
0.03322,0.01424,0.03203,0.92051,10.05,1234,1.68868,1.1
0.03322,0.01424,0.03203,0.92051,9.86,1206.6,2.44005,1.1
0.01605,0.03745,0.03076,0.91574,1.17,1600.6,0.11007,1.1
0.01605,0.03745,0.03076,0.91574,1.09,1409.1,0.1835,1.1
0.01605,0.03745,0.03076,0.91574,1.25,1252.2,0.41225,1.1
0.01605,0.03745,0.03076,0.91574,1.26,1144.6,0.62463,1.1
0.01605,0.03745,0.03076,0.91574,1.19,1022.7,1.77801,1.1
0.01605,0.03745,0.03076,0.91574,9.23,1296.9,0.08209,1.1
0.01605,0.03745,0.03076,0.91574,9.8,1191.9,0.2218,1.1
0.01605,0.03745,0.03076,0.91574,9.92,1177.4,0.44788,1.1
0.01605,0.03745,0.03076,0.91574,9.82,1137,0.74776,1.1
0.01605,0.03745,0.03076,0.91574,9.7,1124.5,1.1773,1.1
0.01605,0.03745,0.03076,0.91574,9.96,1088.3,1.95698,1.1
0.01605,0.03745,0.03076,0.91574,9.86,1052.2,4.74525,1.1
