NH3,O2,N2,P,T,t,UF
0.123,0.184,0.693,20,1213,2.152,1.2
0.123,0.184,0.693,19.3,1295,1.655,1.2
0.123,0.184,0.693,20,1373,0.88,1.2
0.123,0.184,0.693,20,1441,0.542,1.2
0.123,0.184,0.693,19.7,1492,0.225,1.2
0.123,0.184,0.693,38,1181,2.406,1.2
0.123,0.184,0.693,41.2,1272,1.472,1.2
0.123,0.184,0.693,42.2,1362,0.823,1.2
0.123,0.184,0.693,40.3,1430,0.356,1.2
0.123,0.184,0.693,38.2,1524,0.097,1.2
0.219,0.164,0.617,20.6,1264,1.259,1.2
0.219,0.164,0.617,20,1294,0.979,1.2
0.219,0.164,0.617,20.5,1303,0.995,1.2
0.219,0.164,0.617,20,1405,0.409,1.2
0.219,0.164,0.617,19.5,1525,0.132,1.2
0.219,0.164,0.617,42.2,1280,0.811,1.2
0.219,0.164,0.617,40,1342,0.488,1.2
0.219,0.164,0.617,39.2,1437,0.211,1.2
0.219,0.164,0.617,37.5,1484,0.136,1.2
0.219,0.164,0.617,41.6,1581,0.035,1.2
0.359,0.135,0.506,20,1290,0.94,1.2
0.359,0.135,0.506,19.4,1310,0.858,1.2
0.359,0.135,0.506,19.6,1433,0.45,1.2
0.359,0.135,0.506,18.5,1543,0.14,1.2
0.359,0.135,0.506,41.9,1195,1.553,1.2
0.359,0.135,0.506,40.4,1243,1.375,1.2
0.359,0.135,0.506,38.8,1301,0.87,1.2
0.359,0.135,0.506,37.6,1416,0.361,1.2
0.359,0.135,0.506,38.6,1554,0.061,1.2
