rxn_label,exp0,exp1,exp2,exp3,exp4,exp5,exp6,exp7,exp8,exp9,exp10,exp11,exp12,exp13,exp14,exp15,exp16,exp17,exp18,exp19,exp20,exp21,exp22,exp23,exp24,exp25,exp26,exp27,exp28,exp29,exp30,exp31,exp32,exp33,exp34,exp35,exp36,exp37,exp38,exp39,exp40,exp41,exp42,exp43,exp44,exp45,exp46,exp47,exp48,exp49,exp50,exp51,exp52,exp53,exp54,exp55,exp56,exp57,exp58,exp59,exp60,exp61,exp62,exp63,exp64,exp65,exp66,exp67,exp68,exp69,exp70,exp71,exp72,exp73,exp74,exp75,exp76,exp77,exp78,exp79,exp80,exp81,exp82,exp83,exp84,exp85,exp86,exp87,exp88,exp89,exp90,exp91,exp92,exp93,exp94,exp95,exp96,exp97,exp98,exp99,exp100,exp101,exp102,exp103,mean_abs_sens,max_abs_sens,mean_rel_change
r0 H + O2 <=> O + OH,0.044911165366472265,0.04393453664120887,0.044413491687956844,0.045045296561761476,0.04487647687785054,0.04135638428691549,0.04329145997283365,0.037436867674493675,0.04014207895102584,0.03374911340857642,0.036087937429732916,0.06629889128958114,0.0618314935125698,0.057935041570433186,0.057001277631245816,0.05241863392299529,0.05175601469135704,0.04925609644672331,0.04613571894896885,0.0454341680507874,0.09593667396542661,0.0903216684693132,0.08455510396853146,0.0799649702258027,0.07140268010579674,0.06650650941021562,0.06033348548155303,0.05592724437815288,0.05641537680943292,0.05596905825935885,0.052458060432573,0.05370368891337122,0.05003466630494692,0.04816528942394945,0.04916224625376419,0.04166557868530181,0.04736516562671765,0.03692046866578783,0.08028656873669694,0.0765548557575797,0.07246658828186082,0.06818785041772349,0.0671898250433888,0.06173732175877301,0.058995334540559934,0.05885405103828553,0.05710943629445489,0.08998915336474449,0.08804451157841486,0.08281637271881515,0.08172915180154362,0.0818473431042675,0.0800360550040382,0.07936840050903901,0.0755246434561383,0.0671718780899383,0.058983900610162246,0.057089775760059844,0.056139578217557995,0.054320858612087415,0.053513771835230865,0.05164211404875126,0.04844110300229877,0.04997760386334211,0.04507591604407316,0.07841798398777325,0.07070397664321315,0.0668679561097001,0.06693424237333047,0.06330791223279643,0.05854238665046236,0.05661378378993173,0.09147595587565134,0.09195393147556397,0.08260071109203064,0.0807353676642698,0.07938069909225792,0.07518089095703086,0.06994359840734633,0.060892524215519654,0.06401167129686441,0.06155030082929293,0.053997715920824994,0.06229302019294342,0.05980697908415764,0.05109526089268429,0.0539811731111152,0.057671700788893554,0.04600711132906684,0.0690653780244815,0.07109747618672317,0.07098457363585371,0.06417175225115823,0.06361635495002116,0.05914016664306915,0.06316601511574745,0.060222077860787475,0.08696913248292543,0.07833693626738507,0.07496627786554247,0.07379183873206471,0.06436392726280735,0.06516235581955365,0.06558283603307956,0.06228671150901187,0.09593667396542661,-0.06228671150901187
r75 N2H2 + M <=> H + NNH + M,0.014227984662009252,0.011603543301569765,0.012851405813381261,0.011803876589771885,0.01233869944422435,0.010546660868027842,0.00989582107075945,0.008382179476468608,0.011938051296682874,0.005631956895841704,0.01015478244470939,0.01681184316142596,0.01580261812603595,0.016171639484991885,0.015425081484383233,0.014580047597260597,0.014303438386436643,0.012216048603162765,0.012088412910294659,0.012243680554162932,0.019395840408322377,0.019107211404947207,0.018633571767735238,0.018833245043017612,0.016890243322541566,0.016375053850435015,0.014875961884319935,0.013235931625902048,0.01858228955209536,0.016615585511919002,0.017149882327166098,0.017366259562841345,0.011968126178568458,0.015409119451683998,0.017643873344148676,0.006859778773366544,0.01309323143157473,0.0065991870834717125,0.019942174831313008,0.019377120899873305,0.01991893753175201,0.0192163119385635,0.01912598347855513,0.017931304266342814,0.01643112135357356,0.016267497693695718,0.016011257487257954,0.01920571182605865,0.027413722083899545,0.022458165645248072,0.022870179339742034,0.020331274032615212,0.02238897896060703,0.021118038652573057,0.0214154413428251,0.017705054700208694,0.018451306143991878,0.017655312736272483,0.0178741537011179,0.01712300764385044,0.016615631542568062,0.01713452673791939,0.015065183894757646,0.012968591312323113,0.013198409038332613,0.019447228004189857,0.020684516004551855,0.019675823615693044,0.020386166906438317,0.019809105011129955,0.018790458383994013,0.01806595803995722,0.022155682677995794,0.021731644190783134,0.02161254128609116,0.022382965787838723,0.020330645454276756,0.021518855556070422,0.02080709908274302,0.021184981941555846,0.025772616335574823,0.020086563440874478,0.02239427676895392,0.025387248777423252,0.022223180489306597,0.010292727606825274,0.013172700556741301,0.0168512663765715,0.008412757853471677,0.02293812956594284,0.02662880581369304,0.02715364153530564,0.027826801424859313,0.0326118761341492,0.021691234454803733,0.024210109511643377,0.018502421170038478,0.023662558515497516,0.023486343888529482,0.027077734174227007,0.020498653407302378,0.020393768129548455,0.02490458503271646,0.029631651253067933,0.018050595073768008,0.0326118761341492,-0.018050595073768008
r161 NH2 + NH3 <=> H2 + N2H3,0.01068190800098189,0.010308780773898883,0.0107038659726115,0.00976802241689389,0.009947744515713185,0.0063665834397947495,0.009509285514461566,0.00859396170288118,0.004699263171499769,0.000914462042912324,0.0021623750361985414,0.017780609543488004,0.016773737886773003,0.01587888539151102,0.015608773021207249,0.01440589358827939,0.013151887747555508,0.011144252381088746,0.009560488329364859,0.009267684898642234,0.016066508017877672,0.016021170099562915,0.017210030687651603,0.015520788921900225,0.015171374161755383,0.013705106841842632,0.012594614334064324,0.011270728928613333,0.013542998989601835,0.012410113118580847,0.01062644914861288,0.011888588813731971,0.0067934552099195656,0.008534168073418301,0.007162517223216293,0.005219507170293874,0.009134874824832892,0.002587596837832673,0.018250533647556064,0.017675125255305284,0.016975651488684584,0.016026043734579755,0.015964602122677918,0.013942883615716349,0.013687230228698872,0.011388620906456932,0.00950394712032009,0.018648096690660452,0.0188276874094246,0.016591965421015296,0.014947969071183955,0.014911223063832954,0.01568465713997923,0.01599354915906019,0.015805605493218588,0.011264461130208325,0.017767293286542626,0.01571094948824712,0.014657970285057128,0.012506770316140763,0.012247285557513886,0.012114670974484987,0.009861194290076545,0.009400881393523441,0.006052748389425709,0.018436311612137338,0.01776844057080644,0.01672842745513348,0.01739264568677247,0.015557969837799494,0.014434359534406726,0.01151732957444418,0.01543143991898783,0.016080840234202302,0.015868146728001693,0.016551836921939962,0.016398300690057096,0.015514373907392827,0.014077319575704118,0.022635371590982438,0.01581584227990593,0.013944904920882675,0.01362471417443403,0.018495186751736357,0.014161468701041586,0.0026560955143428307,0.004926325975988487,0.02181347517364682,0.008003587307476983,0.022451694432274957,0.021753127586745333,0.02166286643113114,0.019565499651308525,0.019940071102149175,0.020052884252554325,0.022060251696608465,0.010991991956968598,0.021573927639323323,0.02152269503612122,0.031862315888258566,0.01578524175274052,0.026692286849898276,0.023777049208211668,0.018788004658045705,0.01418666630999252,0.031862315888258566,-0.014169080501474977
r157 H + NH3 <=> H2 + NH2,0.01578301320157699,0.0153706059706822,0.01499443129277045,0.014787098350887904,0.011562024435028599,0.01136196863134617,0.010689075806474786,0.010242177317070942,0.010465503249972268,0.007760462338969979,0.009170956069163003,0.014202938618399974,0.015245730439543595,0.015457414965367868,0.015155920673604264,0.01605092298405928,0.014974483737567665,0.015408432215024847,0.013606889955708539,0.013141964247489736,0.006385839701021155,0.007658913369829497,0.008441253131361062,0.009432032597051759,0.010657477990226968,0.01226999578229184,0.012449684252841093,0.01378109216139224,0.011342224258581404,0.011423904769186118,0.013102827137707104,0.010202450980340493,0.01220954352507831,0.01050927322638173,0.0037014257691909804,0.013565488876751177,0.0033990561036645306,0.013571482190524585,0.013257387430543688,0.013231283797227524,0.013097564872065514,0.013399394851278192,0.014041692273621753,0.013497679905909745,0.012911615273550016,0.0111149155461198,0.013078582573726263,0.00653045700818369,0.002995832488387163,0.010425890237195881,0.008645715431129223,0.012204908659268736,0.012449898044836245,0.012376878099956863,0.011281921735729087,0.014507937109448707,0.014804776506253035,0.01462379734223131,0.01402222338262783,0.01321749518370174,0.012662946144602713,0.010293307244377263,0.011309541916962854,0.008474903775898381,0.004954922297477138,0.01265645191650276,0.01321438674741476,0.014096126537457648,0.012820071898303453,0.013188905598807834,0.010995286455149014,0.011424820607790386,0.00688082025998161,0.006219166627375478,0.009730516172993703,0.009871915574635912,0.010091411638600958,0.010760525418814906,0.010419738678563396,0.012304431215118277,0.01196701785763966,0.011848314233553403,0.015360930591887085,0.010528483895065723,0.005162425320015153,0.015562262136156723,0.012760596084454848,0.0096740985437968,0.011360535754477425,0.016174776883809302,0.008955595432507082,0.013332252040646872,0.012772417989764879,0.0127186086478382,0.013695094948408426,0.009882197410060063,0.017523464829411278,0.0051521575929554,0.006518121423823775,0.0067866504188755505,0.016106789342583992,0.01182279972953239,0.007326691911031749,0.004042757423367785,0.011487106396592454,0.017523464829411278,0.011487106396592454
r156 NH3 + M <=> H + NH2 + M,0.008277579323265014,0.007435855604046073,0.00991781407223693,0.009213045012104109,0.010860050937383844,0.015547334440606568,0.014450609546503837,0.015538654410466987,0.02097299750643469,0.01775795743981927,0.024398757966543023,0.009194461109872471,0.007038597098736324,0.005496903047586443,0.0031869393812494766,0.0018805873456775202,0.000638546309649567,0.003498219782661396,0.0063359700128059575,0.006841807447143071,0.0282449938835555,0.025624694048349383,0.022828301768862816,0.019753145835736806,0.014401035260366216,0.010229795218565122,0.007185132113938514,0.002387873296004266,0.008173996733767494,0.01191910400809533,0.01206995913682017,0.011861638684171078,0.01391200772005869,0.020187088812646824,0.022059414857440608,0.01579905297326314,0.025291565496228817,0.018111221946444274,0.012891251517420804,0.012140786089280563,0.008148755701140688,0.00498688228000649,0.003932684936589119,0.0012730846740957049,0.0029868203099351572,0.005769007020134652,0.007733186791249597,0.02182281622576998,0.010640430286737,0.015298751280619874,0.01497548152579195,0.01405046634862158,0.012283892588525563,0.011271025782715053,0.009608084986891832,0.008365098622290222,0.0016840196788777803,0.0024977637736380066,0.0029323090517132657,0.005872498288322049,0.007641803310382698,0.011849357056447626,0.011840674499192539,0.01263553814294702,0.019700869360360498,0.011617839646587618,0.007495093935110443,0.0057304950305422445,0.0045270720715688655,0.0015518572421938308,0.003449799104223548,0.00626515887460397,0.02028859166462082,0.01960799614273377,0.017825853308899714,0.016047686592770057,0.015781462705718306,0.010681609250230617,0.008876326369536855,0.01891037556836614,0.01062561712697327,0.010262223888640516,0.013358074006719753,0.01661052889784699,0.017892451758737837,0.011860251835902044,0.027920007545368154,0.025159592717995373,0.028022875955497115,0.009955400199044099,0.001308401374278065,0.0023293792258806964,0.0013173759759982635,0.004272541541694156,0.011160725439632537,0.0100915864868155,0.009518668771234957,0.009941855450316105,0.00759147300610719,0.009319097032318062,0.010337954938304788,0.0020914807338229375,0.004293576447569878,0.001122979790167418,0.011234397955513243,0.0282449938835555,-0.0014117865420231164
r76 H + N2H2 <=> H2 + NNH,0.006349726777847078,0.006448169284738697,0.007267895412971497,0.006525035404713232,0.005667742746850413,0.00748431445511285,0.0063213852236471335,0.004789961798798518,0.0013462175352270313,0.0071179845807242195,0.003946521290950446,0.00710930923240817,0.007386186307769768,0.008290731226661642,0.007365864021250521,0.007154922104569647,0.007362368773333832,0.00700622428469106,0.007019654628673375,0.0071441461531452,0.008574782333277117,0.00954911889519711,0.007826175901757748,0.008048740500943107,0.00820559272824516,0.007347493279784062,0.007817162675666024,0.007851596785345541,0.010735035162629131,0.010751084442488575,0.009727371086494565,0.010683916665244295,0.010636097319162112,0.008467443865180734,0.006202447804175898,0.010602014617396079,0.008013119182401407,0.010620752697451703,0.01130695896052553,0.011068318181056766,0.011643796191715136,0.011177836556841828,0.012447004701692067,0.011930705870685782,0.012254700419754414,0.011876736211085957,0.009717115612003042,0.009507663609304247,0.008166329837907441,0.011732524199967932,0.012677539487317327,0.011637378521986222,0.01471588934861243,0.013208436594386624,0.011262051275818372,0.013138890864398048,0.010945022962009368,0.012108753967239243,0.01176166259506755,0.011835670676341439,0.01125181474599505,0.0077335926764235206,0.012859226774648732,0.012154078601900816,0.008516223665314345,0.009776891524306957,0.011150498126836259,0.011661812127546328,0.011272310038569376,0.012158315132096286,0.011224334575526629,0.011709156809001503,0.00997716554434211,0.007670891150565283,0.011915498028161152,0.010756908441193067,0.01168198052737147,0.012053008719226592,0.012340678954836173,0.009082269770621047,0.015033030720471846,0.012101230914469388,0.010532460098213351,0.004637441755539934,0.011073629007043886,0.018053929433850927,0.013522286106590311,0.0045698459868567486,0.008856532218129766,0.01433314788563605,0.015333827523483478,0.015667427591490892,0.009469107716195517,0.012052598025343048,0.013095196141185018,0.007753540613412238,0.012622623639696616,0.007002221387845403,0.007728868110150016,0.013195910204486308,0.016468066185301437,0.0173040000263889,0.009061685607406967,0.013967832639795506,0.010069888358712576,0.018053929433850927,0.010069888358712576
r66 NH2 + NO <=> NNH + OH,0.004860060023682222,0.0034057586114676066,0.00329940018510795,0.0036071731256123373,0.004628017178734845,0.0014295363900963076,0.0036608139095269535,0.002523028152515358,0.004244748880923403,0.0003474540453165374,0.00016211470744838437,0.01701191038587472,0.013986961261713221,0.01071181585541495,0.010179782314899289,0.007435609211636046,0.007951539780399738,0.004429102777609754,0.005098528761184845,0.00424041710578973,0.029009140255330856,0.024680794101342097,0.021190924324359,0.01963333191595193,0.014778341852444829,0.011191267359397617,0.008656355384781609,0.006584358425236778,0.006420681143445935,0.004479793175114887,0.00459011061655113,0.0047935501138178255,3.821808154008668e-05,0.004187014672069374,0.00490432762240106,0.0001784203897352364,0.001679662119285381,0.00012957475397720408,0.015171960346005155,0.013449034614159704,0.011051641905174586,0.00995194766764025,0.00887946317284056,0.006193270434975003,0.006409158127865373,0.006376336148472998,0.002638225079438071,0.01841576944507834,0.017716926023382967,0.01393706412826014,0.011642209438986077,0.010588945953904288,0.009230798034060022,0.010076956648069684,0.009476830360627604,0.00602310145579206,0.008468541235869353,0.005947487402697832,0.006231022609548235,0.005482878164698241,0.00430404961474095,0.004139647672383006,0.0011300636825315124,0.0013577197343368965,0.00309274118253308,0.01738707396302903,0.013137773043998194,0.010471408044320956,0.011261421941671883,0.008090592034901808,0.006379994033453308,0.005277368511861152,0.02132677055862376,0.02134438533957283,0.01516715295489814,0.014287889568364277,0.012892731714818499,0.012496117113513122,0.00923042603710341,0.006510571553486004,0.005068557666714251,0.007816550568703345,0.00781405246131283,0.003300181266018832,0.0028022393076119214,0.004349126735563254,1.7865682255609066e-05,0.00517639921220492,0.0011809874820116353,0.011914341372674891,0.013459914613669752,0.007057380778109413,0.0043047830786538946,0.007146195039052869,0.005903941786497265,0.005228885339938115,0.0005933872691894134,0.016697009557313524,0.020466727346543406,0.013885816045715229,0.00810852141474383,0.01489640897357628,0.010950303657021637,0.005126975205685438,0.00842549670702122,0.029009140255330856,-0.008309029248703309
r44 NH + O2 <=> HNO + O,0.008137070667109555,0.005210661681151356,0.005583270129042548,0.006521350320984626,0.007684504708063207,0.006338396061871471,0.008021519518876615,0.008609101908376677,0.007227434849401358,0.005337139606879049,0.004853976552923704,0.008071073057614437,0.007067315227456241,0.006198085381234399,0.007843152867000103,0.006411479267516916,0.00752213984055504,0.006850621966030901,0.006449179763102457,0.006726636413940462,0.011279277208983257,0.009573862966475555,0.01107333963033946,0.010054616594181965,0.008649246177091601,0.00873219586971272,0.007930965052123509,0.007037425739132223,0.008794828661663976,0.007165865381598213,0.005485056953222082,0.006905287819778522,0.003850174025173174,0.006685522997251901,0.010405645337330773,0.004096418245490654,0.00923557407712373,0.005339967883172951,0.007944050264078564,0.007957801362857425,0.00839931150533297,0.007411947525925212,0.00775971734525842,0.006887322552094502,0.007194705156423218,0.006137583347433799,0.00638180202058154,0.009816230017744267,0.010778284256349486,0.013136220364617467,0.009043147722703626,0.012990305816602493,0.010127976900691685,0.009146991888465975,0.009707359776135295,0.007909353162122374,0.006181607506720005,0.006337286291721249,0.005670529101814184,0.005874911510325966,0.005492749043254816,0.008322865086613845,0.006119426504248164,0.004798365886007858,0.006231711204752229,0.007659059041298836,0.00724785579785283,0.0063652502494274,0.006985146050900773,0.007211440908073555,0.007760871183770499,0.0057976917798836,0.009460861215402842,0.010103906899650022,0.009367552004184902,0.009282306287364804,0.008830367452872266,0.008672006118598993,0.007592976692801966,0.008629670550970098,0.010134901900791499,0.008575843677582226,0.005608942698264713,0.01163017594923347,0.005315268959388287,0.0030133352988374784,0.007516438240751702,0.007338069111213843,0.008315883572762452,0.004437493643095601,0.010591626674168693,0.007585908424839304,0.007780302606155268,0.011040466887701678,0.008897019425849806,0.008841451732767517,0.010451087222005658,0.012385646275262143,0.010020033909863333,0.01820523087381919,0.012714240563678335,0.006500354990901678,0.011415808844795969,0.013133868201156262,0.008030147167767246,0.01820523087381919,-0.008030147167767246
r173 plog[2]@10.0atm HNO <=> H + NO,0.0032763410191974317,0.00266823559585038,0.002346181742798913,0.00033243558383644676,0.0030492938475004633,0.0011742526809644395,0.004513467502761988,0.0007491356697705333,0.0017567043067421206,0.0003782227323126787,0.00025224923208238235,0.019829293487698425,0.018003039484783285,0.015450953452827744,0.016033796783025762,0.013314064544803248,0.01278534624821987,0.010236197241947303,0.009068416789045014,0.009644013745781986,0.01409599463436154,0.012444937985454884,0.01204794809299296,0.012213041753783458,0.009983349898643796,0.008905344421096712,0.008223164645686018,0.006369159956868217,0.0029738826530730867,0.0033223551737545567,0.002445847727101197,0.003200071249661915,0.0011116413830893673,0.0010939661994715452,0.005777646323956489,0.00016010486944474937,0.0003660349298195369,4.329740206411975e-06,0.014041421820563175,0.013776402674225148,0.013245033996183823,0.012298326402672673,0.011463254175446781,0.008762746174213036,0.008356235891862449,0.007684830433365799,0.006529253430765369,0.007824763198846367,0.007387412874366458,0.007184499607897504,0.009742597055291022,0.004911441455119305,0.00402970813655048,0.007903167623135355,0.005591036930066067,0.0024423816960016894,0.0013453789197869393,0.0011798418339861922,0.0008204840359581102,0.0008498983405801992,0.0006515152323458259,0.004015526045388732,0.0002886285069778863,0.0002726139953464318,0.0004347459243447025,0.016195544573428852,0.014234832979434965,0.01298453222243651,0.013697296503618027,0.010632174372747456,0.009826876435164,0.007890876250613382,0.010209648034507966,0.010360940550527525,0.006894742830320295,0.008486056505591028,0.007081819865389965,0.008557645330387859,0.006543366762009093,0.0009622658769693431,0.0005196642408125942,0.000532554409673797,0.0026387310620543617,0.0060865769380440225,0.000559054181954367,0.004113779599655438,0.0001186053100632517,0.005286160674410083,2.5248339666384347e-05,0.005136174215704554,0.009451491971315952,0.007345837779558133,0.005440687716408369,0.004335057417721409,0.0015640553915463027,0.007063978326936677,0.0011842273246477923,0.01111404532586263,0.002550316449913314,0.0033530146888196147,0.00261906392795349,0.0012875333382921766,0.00030143391343677694,7.688108340568115e-05,0.006152850023679883,0.019829293487698425,-0.005971862745146251
r56 H + NH2 <=> H2 + NH,0.005883087609875556,0.0058258041884447056,0.005640537027513561,0.005629375129914607,0.005735975196192292,0.005997489076557004,0.0026132256898035214,0.007390083216929986,0.0066273066495596685,0.010075371391128208,0.008011296323440444,0.0037691059137114403,0.004421802697610348,0.004630389317414767,0.004218894647224943,0.00510692577778951,0.004744374290472485,0.005143588999632394,0.0057702905097077395,0.005162363801374146,0.0016626098575958966,0.0010383002002163368,0.0010844001759116254,0.002168823367694275,0.0019491323066235255,0.002923359007023921,0.0039259965186801814,0.005150030312790364,0.008459384701384064,0.008766161393746934,0.010642398529216692,0.00921627110579986,0.01046614328792594,0.00676508248197368,0.008405559426035075,0.01326045948816392,0.010886174036113224,0.011556677497187615,0.007010735058869111,0.0083395219236154,0.007672791879091547,0.00821052480093508,0.007718734189189504,0.009442153813307997,0.008128862318097254,0.00748364940562731,0.00933838063103081,0.0013146454438867096,0.002685765563331438,0.006733264450182954,0.008765765291132323,0.009367361438918866,0.00864972217212802,0.008695467694128836,0.006568440045773824,0.009628086396147095,0.008729589198113305,0.008983085749035462,0.008782171448424298,0.009560777364522726,0.008595321145553093,0.006230793257821583,0.010672605927827835,0.008736738217061508,0.005572967325407401,0.005950660915144486,0.006473544337645202,0.0074591054171483425,0.006290481412668054,0.0068846206658682955,0.007448915114800881,0.007290206462392714,0.002070784671217126,0.0016872799378152249,0.005462482318884414,0.004151145177402221,0.005509544283227507,0.00544453275996902,0.005985340413589134,0.0031094905462806933,0.002926578625418938,0.006094135390137147,0.01064027134013656,0.007715459926541908,0.005983921432602208,0.005786475549444443,0.002603987170218279,0.003531134158557406,0.006901500863624921,0.007424097269215287,0.0006828050207933645,0.006194241090185504,0.0056054325306059295,0.0012193477180083392,0.000440839999091949,0.005238629737611369,0.004132927146435466,0.0015725608338160565,0.0009398841114043475,0.001783960845220542,0.0022297104779294133,0.006256871637470987,0.0013096028189430956,0.005875998408283481,0.006025487325320115,0.01326045948816392,0.00586547784118431
